,question,human_answer,method,model_answer,context,exec_time
24,"What are the recommended prerequists, if any, for calculus in one variable 2 (TATA42)?",calculus in one variable 1 (TATA41),TFIDF, The recommended prerequisite for calculus in one variable 2 (TATA42) is calculus in one variable (TATA73).,"Course: theory of calculus, second course (tata73) (tata73)
Course code:
tata73

Course title:
theory of calculus, second course (tata73)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Bachelor's Programme in Mathematics

Prerequisites:
Calculus in one and several variables

Intended learning outcomes:

To give theoretical knowledges in calculus of one and several variables. After the course the student must be able tocite and use the definitions and theorems of limit, continuity, derivatives, indefinite and definite integrals, Taylor and Maclaurin series.prove central theorems in calculus of one and several variables.

Course content:

Calculus in one variable: Theory of lindefinite and definite integrals, Taylor and Maclaurin series.Calculus in several variables: Theory of limit, continuity, derivatives, integrals, Taylor and Maclaurin series.

Teaching and working methods:

Seminars including oral presentations.
Course: calculus in one variable 2 (tata42) (tata42)
Course code:
tata42

Course title:
calculus in one variable 2 (tata42)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Master of Science in Applied Physics and Electrical Engineering - International
 - Master of Science in Computer Science and Engineering
 - Master of Science in Energy - Environment - Management
 - Master of Science in Industrial Engineering and Management - International
 - Bachelor's Programme in Mathematics
 - Master of Science in Chemical Biology
 - Master of Science in Mechanical Engineering
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Design and Product Development
 - Master of Science in Industrial Engineering and Management
 - Master of Science in Biomedical Engineering
 - Master of Science in Engineering Biology
 - Master of Science in Engineering Mathematics

Prerequisites:

Calculus in one variable, part 1
Course: calculus, several variables (tata83) (tata83)
Course code:
tata83

Course title:
calculus, several variables (tata83)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Bachelor of Science in Engineering Electronics
 - Master of Science in Chemical Biology
 - Master of Science in Engineering Biology
 - Bachelor of Science in Applied Physics

Prerequisites:
Linear Algebra, Calculus, one variable

Intended learning outcomes:

The aim is that the student shall become familiar with the mathematical concepts, the reasoning, and the relations that constitute several variable calculus, and also to acquire computitional and problem solving skills, to the extent required for further studies. After completing the course, the student should be able to
 - explain basic concepts and theorems for calculus in several variables.
 - identify and apply relevant methods to solve problems in calculus in several variables.",92135.85
25,"What are the recommended prerequists, if any, for calculus in one variable 1 (TATA41)?",foundation course in mathematics (TATB01/TATM79),TFIDF," The recommended prerequisites for calculus in one variable 1 (TATA41) are Foundation Course in Mathematics and Theory of calculus, second course (TATA73).","Course: calculus in one variable 1 (tata41) (tata41)
Course code:
tata41

Course title:
calculus in one variable 1 (tata41)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Master of Science in Computer Science and Software Engineering
 - Master of Science in Information Technology
 - Master of Science in Computer Science and Engineering
 - Master of Science in Energy - Environment - Management
 - Master of Science in Chemical Biology
 - Master of Science in Mechanical Engineering
 - Master of Science in Design and Product Development
 - Master of Science in Engineering Biology
 - Bachelor's Programme in Mathematics
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Industrial Engineering and Management
 - Master of Science in Biomedical Engineering
 - Master of Science in Engineering Mathematics

Prerequisites:
Foundation Course in Mathematics
Course: theory of calculus, second course (tata73) (tata73)
Course code:
tata73

Course title:
theory of calculus, second course (tata73)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Bachelor's Programme in Mathematics

Prerequisites:
Calculus in one and several variables

Intended learning outcomes:

To give theoretical knowledges in calculus of one and several variables. After the course the student must be able tocite and use the definitions and theorems of limit, continuity, derivatives, indefinite and definite integrals, Taylor and Maclaurin series.prove central theorems in calculus of one and several variables.

Course content:

Calculus in one variable: Theory of lindefinite and definite integrals, Taylor and Maclaurin series.Calculus in several variables: Theory of limit, continuity, derivatives, integrals, Taylor and Maclaurin series.

Teaching and working methods:

Seminars including oral presentations.
Course: calculus, several variables (tata83) (tata83)
Course code:
tata83

Course title:
calculus, several variables (tata83)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Bachelor of Science in Engineering Electronics
 - Master of Science in Chemical Biology
 - Master of Science in Engineering Biology
 - Bachelor of Science in Applied Physics

Prerequisites:
Linear Algebra, Calculus, one variable

Intended learning outcomes:

The aim is that the student shall become familiar with the mathematical concepts, the reasoning, and the relations that constitute several variable calculus, and also to acquire computitional and problem solving skills, to the extent required for further studies. After completing the course, the student should be able to
 - explain basic concepts and theorems for calculus in several variables.
 - identify and apply relevant methods to solve problems in calculus in several variables.",93211.31
26,"What are the recommended prerequists, if any, for probability, first course (TAMS14)?","Linear algebra, differential and integral calculus, series",TFIDF," The recommended prerequisites for Probability, First Course (TAMS14) include linear algebra, differential and integral calculus, and series.","Course: probability theory (732a63) (732a63)
Intended learning outcomes:

After competition of the course, the students shall be able to:

- use the major univariate and multivariate probability distributions in solving theoretical and practical problems in probability

- derive probability distributions of functions of random vectors

- analyze probability models by moment generating functions and other transforms

- analyze probability models by conditioning

- account for basic modes of stochastic convergence and derive limit distributions.
Course: experimental design and biostatistics (tams38) (tams38)
Prerequisites:
A first course in probability and statistics
Course: probability, first course (tams14) (tams14)
Course code:
tams14

Course title:
probability, first course (tams14)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Master of Science in Applied Physics and Electrical Engineering - International
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Biomedical Engineering
 - Master of Science in Engineering Mathematics

Prerequisites:
Linear algebra, differential and integral calculus, series.",50951.49
27,"What are the recommended prerequists, if any, for statistics, first course (TAMS24)?","Calculus, matrix algebra and a first course in probability theory (TAMS14)",TFIDF," The recommended prerequisites for the course ""statistics, first course (TAMS24)"" include calculus, matrix algebra, and a first course in probability theory.","Course: database technology (732a57)
Course code:
732a57

Course title:
database technology

Main field of study:
Computer Science

Course level:
Second cycle

Advancement level:
A1F

Course offered for:
 - Master´s Programme in Statistics and Data Mining
 - Master's Programme in Statistics and Machine Learning
Course: decision theory (732a66)
Course code:
732a66

Course title:
decision theory

Main field of study:
Statistics

Course level:
Second cycle

Advancement level:
A1F

Course offered for:
 - Master´s Programme in Statistics and Data Mining
 - Master's Programme in Statistics and Machine Learning
Course: statistics, first course (tams24) (tams24)
Course code:
tams24

Course title:
statistics, first course (tams24)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G2X

Course offered for:
 - Master of Science in Applied Physics and Electrical Engineering - International
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Biomedical Engineering
 - Master of Science in Engineering Mathematics

Prerequisites:
Calculus, matrix algebra and a first course in probability theory.",59183.08
28,"What are the recommended prerequists, if any, for linear algebra, honours course (TATA53)?",A basic course in linear algebra (TATA24),TFIDF," The recommended prerequisite for the linear algebra, honours course (TATA53) is a basic course in linear algebra.","Course: linear algebra, honours course (tata53) (tata53)
Prerequisites:
A basic course in linear algebra.

Intended learning outcomes:

This course extends the first course in linear algebra so that the student will be prepared for advanced courses in mathematics and applied subjects. After completing the course the student will be able to
 - describe basic concepts and properties of complex vector spaces
 - use and prove the spectral theorem for Hermitian and normal maps
 - use the singular value decomposition in applications
 - use the theory of positive matrices in applications
 - determine and apply the Jordan canonical form
 - use linear algebra in solving systems of differential and difference equations
Course: functional analysis (tatm85) (tatm85)
Course code:
tatm85

Course title:
functional analysis (tatm85)

Main field of study:
Mathematics, Applied Mathematics

Course level:
Second cycle

Advancement level:
A1X

Course offered for:
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Applied Physics and Electrical Engineering - International
 - Master's Programme in Mathematics

Prerequisites:
Linear Algebra,Calculus in one variable, Calculus in several variables, Real Analysis Honours Course, is a good preparation, but is not a prerequisite.
Course: linear algebra, honours course (tata53) (tata53)
Course code:
tata53

Course title:
linear algebra, honours course (tata53)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G2X

Course offered for:
 - Master of Science in Computer Science and Engineering
 - Master of Science in Industrial Engineering and Management
 - Master of Science in Information Technology
 - Master of Science in Biomedical Engineering
 - Master of Science in Computer Science and Software Engineering
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Industrial Engineering and Management - International
 - Master of Science in Applied Physics and Electrical Engineering - International
 - Bachelor's Programme in Mathematics
 - Master of Science in Engineering Mathematics

Prerequisites:
A basic course in linear algebra.",63948.24
29,"What are the recommended prerequists, if any, for linear algebra (TATA24)?",secondary school mathematics (none is okay too),TFIDF, The recommended prerequisite for the course Linear Algebra (TATA24) is having a strong background in secondary school mathematics or an equivalent level of knowledge.,"Course: the language of mathematics (tsit04) (tsit04)
Course content:

Matemathical theory and its structure, in connection to mathematical analysis and linear algebra. Presentation of matemathics.

Teaching and working methods:

The teaching will be done in discussion seminars. The course runs over the entire spring semester.

Examination:

UPG1 Oral presentations and written hand-ins 4 credits U, G

Grades:
Two grade scale, older version, U, G

Department:
Institutionen för systemteknik

Director of Studies or equivalent:
Klas Nordberg

Examiner:
Jan-Åke Larsson

Education components:
Preliminary scheduled hours: 34 h
Recommended self-study hours: 73 h

Course literature:

Other:
 - The course literature of TATA24, TATA41, TATA42 and TATA43. Hand-outs.
Course: introduction in matlab (tsrt04) (tsrt04)
Intended learning outcomes:

After completing this course, the student is expected to be able to:
 - visualise results of computations and data sets by self-explaining graphics.
 - construct simple scripts and functions and use control structures (if-statements, for- and while-loops) to solve more advance project tasks.

Course content:

Interactive computations. Introduction to programming in MATLAB, using elementary methods. Advantages in documentation and comments to code. Plots and visualisation of computational results. Numerical calculations in linear algebra, (e.g. to solve linear equation systems). Solving basic engineering problems by dividing these into subproblems.

Teaching and working methods:

Lectures and computer exercises.

Examination:

LAB1 Computer exercise 2 credits U, G

Grades:
Two-grade scale, U, G

Other information:

About teaching and examination language:
Course: linear algebra (tata24) (tata24)
Course code:
tata24

Course title:
linear algebra (tata24)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Master of Science in Information Technology
 - Master of Science in Computer Science and Software Engineering
 - Master of Science in Computer Science and Engineering
 - Bachelor's Programme in Mathematics
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Biomedical Engineering
 - Master of Science in Engineering Mathematics

Prerequisites:

Admisson to the course requires , as well as general university requirements, secondary school mathematics (or equivalent).",83353.37
30,"What are the recommended prerequists, if any, for modern physics I (TFYA73)?","Mathematics, Calculus, Linear algebra, Mechanics, Wave Motion, Electromagnetic Field Theory",TFIDF," The recommended prerequisites for Modern Physics I (TFYA73) include Mathematics, Calculus, Linear Algebra, Mechanics, Wave Motion, and Electromagnetic Field Theory.","Course: astronomy and geophysics (tfya60) (tfya60)
Course code:
tfya60

Course title:
astronomy and geophysics (tfya60)

Main field of study:
Applied Physics, Physics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Applied Physics and Electrical Engineering - International

Prerequisites:

Basic knowledge in mechanics and modern physics. Modern physics can be taken in parallell with this course.
Course: modern physics ii (tfya74) (tfya74)
Prerequisites:
Calculus, Mechanics, Wave Motion and Electromagnetic Field Theory

Intended learning outcomes:

In Modern physics II applications of the foundations of relativity and quantum physics given in Modern Physics I are included. After completion of this course the student will be able to: outline the main ideas and theories in the more applied areas of modern physics solve problems in modern physics by choosing appropriate methods and assess the plausibility of the results obtained formulate and evaluate mathematical models describing physical problems explain the significance of the Swedish and English terms used in the field perform simple measurements and computer simulations of importance in modern physics
Course: modern physics i (tfya73) (tfya73)
Course code:
tfya73

Course title:
modern physics i (tfya73)

Main field of study:
Applied Physics, Physics

Course level:
First cycle

Advancement level:
G2X

Course offered for:
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Applied Physics and Electrical Engineering - International

Prerequisites:

Mathematics, Calculus, Linear algebra, Mechanics, Wave Motion, Electromagnetic Field Theory.

Intended learning outcomes:",66186.31
31,"What are the recommended prerequists, if any, for modern physics II (TFYA74)?","Calculus, Mechanics, Wave Motion and Electromagnetic Field Theory ",TFIDF," The recommended prerequisites for Modern Physics II (TFYA74) include Calculus, Mechanics, Wave Motion, and Electromagnetic Field Theory.","Course: modern physics i (tfya73) (tfya73)
Teaching and working methods:

Lectures, exercises and one laboratory exercise.

Examination:

TEN2 Written examination 3.5 credits U, 3, 4, 5
KTR1 Optional Assignment 0 credits U, G
LAB2 Laboratory work 0.5 credits U, G

Grades:
Four-grade scale, LiU, U, 3, 4, 5

Other information:

Supplementary courses: Modern Physics II, Nanotechnology, Physics of Condensed Matter, Experimental Physics, Semiconductor Technology, Surface Physics, Analytical Mechanics, Theory of Relativity, Quantum Mechanics, Cosmology, Medical Radiation Physics

About teaching and examination language:
Course: modern physics ii (tfya74) (tfya74)
Course code:
tfya74

Course title:
modern physics ii (tfya74)

Main field of study:
Applied Physics, Physics

Course level:
First cycle

Advancement level:
G2X

Course offered for:
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Applied Physics and Electrical Engineering - International

Prerequisites:
Calculus, Mechanics, Wave Motion and Electromagnetic Field Theory
Course: modern physics ii (tfya74) (tfya74)
Prerequisites:
Calculus, Mechanics, Wave Motion and Electromagnetic Field Theory

Intended learning outcomes:

In Modern physics II applications of the foundations of relativity and quantum physics given in Modern Physics I are included. After completion of this course the student will be able to: outline the main ideas and theories in the more applied areas of modern physics solve problems in modern physics by choosing appropriate methods and assess the plausibility of the results obtained formulate and evaluate mathematical models describing physical problems explain the significance of the Swedish and English terms used in the field perform simple measurements and computer simulations of importance in modern physics",65643.17
32,"What are the recommended prerequists, if any, for engineering mechanics y (TMME12)?","Basic courses in algebra and calculus, wave physics",TFIDF," The text provided does not mention specific prerequisites for the course ""Engineering Mechanics Y (TMME12)."" However, it is likely that students would need a strong foundation in mathematics and possibly some prior knowledge in physics or mechanics to succeed in this course. It's advised to check with your institution or consult the course syllabus for more information about the required prerequisites.","Course: aircraft structures - project course (tmhl26) (tmhl26)
In addition, the student must have passed at least two of the following profile courses:
 - Advanced Material and Computational Mechanics
 - Continuum Mechanics
 - Damage Mechanics and Life Analysis
 - Road Vehicle Dynamics
 - Mechanics, second course
 - Vibration Analysis of Structures
 - Structural Optimization
 - Multi Body Dynamics and Robotics
 - Damage Mechanics and Life Analysis

Intended learning outcomes:
Course: engineering design - project (tmmi53) (tmmi53)
Course code:
tmmi53

Course title:
engineering design - project (tmmi53)

Main field of study:
Mechanical Engineering

Course level:
First cycle

Advancement level:
G2X

Course offered for:
 - Bachelor of Science in Mechanical Engineering

Prerequisites:
The project requires knowledge in Mechanics, Thermodynamics, Fluid Mechanics, Solid Mechanics, Manufacturing Engineering, Machine Elements and Industrial Organization.
Course: energy engineering - project (tmmi72)
Course code:
tmmi72

Course title:
energy engineering - project

Main field of study:
Mechanical Engineering

Course level:
First cycle

Advancement level:
G2X

Course offered for:
 - Bachelor of Science in Mechanical Engineering

Prerequisites:

Engineering Mechanics, Thermodynamics , Fluid Mechanics and Heat Transfer, Applied Energy Technology

Intended learning outcomes:",66286.89
33,"What are the recommended prerequists, if any, for engineering mechanics II (TMME04)?","Statics and particle mechanics, Basic courses in algebra and analysis (especially the geometric interpretations of scalar and vector products, and ordinary differential equations)",TFIDF," The information provided does not mention specific prerequisites for Engineering Mechanics II (TMME04). However, it is likely that students should have a strong foundation in Mechanics, Thermodynamics, Fluid Mechanics, Solid Mechanics, and related subjects to succeed in this course.","Course: aircraft structures - project course (tmhl26) (tmhl26)
In addition, the student must have passed at least two of the following profile courses:
 - Advanced Material and Computational Mechanics
 - Continuum Mechanics
 - Damage Mechanics and Life Analysis
 - Road Vehicle Dynamics
 - Mechanics, second course
 - Vibration Analysis of Structures
 - Structural Optimization
 - Multi Body Dynamics and Robotics
 - Damage Mechanics and Life Analysis

Intended learning outcomes:
Course: engineering design - project (tmmi53) (tmmi53)
Course code:
tmmi53

Course title:
engineering design - project (tmmi53)

Main field of study:
Mechanical Engineering

Course level:
First cycle

Advancement level:
G2X

Course offered for:
 - Bachelor of Science in Mechanical Engineering

Prerequisites:
The project requires knowledge in Mechanics, Thermodynamics, Fluid Mechanics, Solid Mechanics, Manufacturing Engineering, Machine Elements and Industrial Organization.
Course: energy engineering - project (tmmi72)
Course code:
tmmi72

Course title:
energy engineering - project

Main field of study:
Mechanical Engineering

Course level:
First cycle

Advancement level:
G2X

Course offered for:
 - Bachelor of Science in Mechanical Engineering

Prerequisites:

Engineering Mechanics, Thermodynamics , Fluid Mechanics and Heat Transfer, Applied Energy Technology

Intended learning outcomes:",63429.47
34,"What are the recommended prerequists, if any, for oscillations and mechanical waves (TFYA81)?","Calculus in one variable, Linear algebra",TFIDF," The recommended prerequisites for the course ""Oscillations and Mechanical Waves"" (TFYA81) include Calculus in one variable and Linear Algebra.","Course: major themes in the growth of modern societies (hashd4) (hashd4)
Course content:

The basis for modern society was laid in the 19th century. The topics below represent main themes in the development of this century. A.From agricultural to industrial societies and beyondB.The rise of parliamentary government and  democracyC.The rise of Nationalism and ScandinavismD.Everyday life – Towards a better society E.People in the north: demographic aspects including migrationF.The role of popular movements

Teaching and working methods:

All tuition is in English.

Examination:

The course will be examined by means of active participation and submitted papers.

Grades:
Three-grade scale, U, G, VG
Course: physics (tfyy55) (tfyy55)
Course content:

Electromagnetics: Electrical Charge, Electric Field, Gauss Law, Electrical Potential, Capacitance, Current and Resistance, Magnetic Field, magnetic Field from Currents, Induction and Inductance, Maxwells Equations, Electromagnetic Waves, Interference, Diffraction, Theory of Relativity, Photons, Matter Waves, The Atom, Nuclear Physics, Nuclear reactions, Elemetary Particles

Teaching and working methods:

The course will be given as lectures, classroom exercises and laborations. The course runs over the entire spring semester.

Examination:

KTR1 Preparatory written examination 0 credits U, G
LAB1 Laboratory Work 1 credits U, G
TEN1 Written examination 5 credits U, 3, 4, 5

Grades:
Four-grade scale, LiU, U, 3, 4, 5

Other information:

Supplementary courses: Molecular Physics

About teaching and examination language:
Course: oscillations and mechanical waves (tfya81) (tfya81)
Course code:
tfya81

Course title:
oscillations and mechanical waves (tfya81)

Main field of study:
Applied Physics, Physics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Applied Physics and Electrical Engineering - International, M Sc in Engineering
 - Applied Physics and Electrical Engineering, M Sc in Engineering

Entry requirements:

Note: Admission requirements for non-programme students usually also include admission requirements for the programme and threshold requirements for progression within the programme, or corresponding.

Prerequisites:
Calculus in one variable. Linear algebra.",84266.03
35,"What are the recommended prerequists, if any, for optics - theory and application (TFYA84)?","Calculus in one and many variables, Oscillations and waves, Linear algebra",TFIDF," The recommended prerequisites for Optics - Theory and Application (TFYA84) include Calculus in one and many variables, Oscillations and waves, and Linear Algebra.","Course: oscillations and mechanical waves (tfya81) (tfya81)
Grades:
Four-grade scale, LiU, U, 3, 4, 5

Other information:

Supplementary courses: The course content is relevant for several upcoming courses on the programme (Optics - Theory and Application, Electronics, Measurement technology, Mechanics, Electromagnetism, Fourier analysis, Modern Physics, Signals and systems etc.). Materials optics, Optoelectronics.

Department:
Institutionen för fysik, kemi och biologi

Director of Studies or equivalent:
Magnus Johansson

Examiner:
Per Sandström

Course website and other links:

Education components:
Preliminary scheduled hours: 0 h
Recommended self-study hours: 107 h

Course literature:

Books:
 - Göran Jönsson,  Våglära och optik Teach Support  ISBN: 9789163781445  Chapter 1-10 is relevant to the course. The remaining part will be teached in TFYA84 that uses the same book

Other:
 - Other course material will be distributed through the Lisam-page for the course
Course: oscillations and mechanical waves (tfya82) (tfya82)
Grades:
Four-grade scale, LiU, U, 3, 4, 5

Other information:

Supplementary courses: The course content is relevant for several upcoming courses on the programme (Optics - Theory and Application, Electronics, Measurement technology, Biomedical Engineering, Mechanics, Electromagnetism, Medical Images, Modern Physics, Transform Theory, Signals and systems etc.). Materials optics, Optoelectronics.

Department:
Institutionen för fysik, kemi och biologi

Director of Studies or equivalent:
Magnus Johansson

Examiner:
Per Sandström

Course website and other links:

Education components:
Preliminary scheduled hours: 0 h
Recommended self-study hours: 107 h

Course literature:

Books:
 - Göran Jönsson,  Våglära och optik Teach Support  ISBN: 9789163781445  Chapter 1-10 is relevant to the course. The remaining part will be teached in TFYA84 that uses the same book

Other:
 - Other course material will be distributed through the Lisam-page for the course
Course: optics - theory and application (tfya84) (tfya84)
Course code:
tfya84

Course title:
optics - theory and application (tfya84)

Main field of study:
Applied Physics, Physics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Master of Science in Biomedical Engineering
 - Master of Science in Applied Physics and Electrical Engineering - International
 - Master of Science in Applied Physics and Electrical Engineering
 - Bachelor's Programme in Physics and Nanoscience

Entry requirements:

Note: Admission requirements for non-programme students usually also include admission requirements for the programme and threshold requirements for progression within the programme, or corresponding.

Prerequisites:

Calculus in one and many variables. Oscillations and waves. Linear algebra.",93377.16
36,"What are the recommended prerequists, if any, for machine learning (TDDE01)?","Probability theory, Statistics, Mathematical analysis, Linear Algebra, Basic programming",TFIDF," The recommended prerequisites for the machine learning course (TDDE01) include:
- Linear algebra
- Probability theory
- Basic programming skills","Course: foundations of ai and machine learning (tdde56)
Prerequisites:

Linear algebra, probability theory, basic programming

Intended learning outcomes:

On completion of the course, the student should be able to:
 - explain central concepts, methods and models in AI and machine learning
 - train machine learning models to solve simple problems and explain how data and optimisation are used in this context
 - evaluate the performance of machine learning models with suitable methods and interpret the results of such evaluations
 - apply AI and machine learning in the field of technology and critically assess such applications
 - problematise ethical, societal and environmental aspects of applications of AI and machine learning

Course content:
 - central concepts, methods and models in AI and machine learning
 - training and evaluation of machine learning models
 - software and data sets
 - applications of AI and machine learning within the chosen field of technology

Teaching and working methods:
Course: machine learning (tdde01) (tdde01)
Course code:
tdde01

Course title:
machine learning (tdde01)

Main field of study:
Information Technology, Computer Science and Engineering, Computer Science

Course level:
Second cycle

Advancement level:
A1X
Course: machine learning (tdde01) (tdde01)
Intended learning outcomes:

The overall aim of the course is to provide an introduction to machine learning, with special focus on regression and classification problems. Machine learning is presented from a probabilistic perspective with inference and prediction based on probability models. The course aims to give students an overview of machine learning within a unified framework and a good basis for further studies in the field.

After completing the course the student should be able to:
 - use relevant concepts and methods in machine learning to formulate, structure and solve practical problems.
 - infer the parameters in a number of common machine learning models.
 - use machine learning models for prediction and decision making.
 - evaluate and choose among models.
 - implement machine learning models and algorithms in a programming language.",59431.35
37,"What are the recommended prerequists, if any, for advanced machine learning (TDDE15)?","Probability theory and Statistics, Bayesian Learning, Machine Learning, Mathematical analysis, Linear Algebra, Basic programming",TFIDF," The recommended prerequisites for Advanced Machine Learning (TDDE15) include:

1. Probability theory and Statistics
2. Bayesian Learning
3. Machine Learning
4. Mathematical analysis
5. Linear Algebra
6. Basic programming","Course: machine learning (tdde01) (tdde01)
Intended learning outcomes:

The overall aim of the course is to provide an introduction to machine learning, with special focus on regression and classification problems. Machine learning is presented from a probabilistic perspective with inference and prediction based on probability models. The course aims to give students an overview of machine learning within a unified framework and a good basis for further studies in the field.

After completing the course the student should be able to:
 - use relevant concepts and methods in machine learning to formulate, structure and solve practical problems.
 - infer the parameters in a number of common machine learning models.
 - use machine learning models for prediction and decision making.
 - evaluate and choose among models.
 - implement machine learning models and algorithms in a programming language.
Course: advanced machine learning (tdde15) (tdde15)
Course code:
tdde15

Course title:
advanced machine learning (tdde15)

Main field of study:
Computer Science and Engineering, Computer Science

Course level:
Second cycle

Advancement level:
A1X

Course offered for:
 - Master of Science in Computer Science and Engineering
 - Master of Science in Information Technology
 - Master of Science in Biomedical Engineering
 - Master of Science in Computer Science and Software Engineering
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Applied Physics and Electrical Engineering - International
 - Master's Programme in Mathematics
 - Master of Science in Industrial Engineering and Management
 - Master of Science in Industrial Engineering and Management - International

Prerequisites:

Probability theory and Statistics; Bayesian Learning; Machine Learning; Mathematical analysis; Linear Algebra; Basic programming.

Intended learning outcomes:
Course: machine learning for social science (771a43)
Intended learning outcomes:

After completion of the course, the student should at an advanced level be able to:
 - Use concepts and methods in machine learning to formulate and solve practical problems relevant for social scientific research.
 - Use statistical software to estimate machine learning models, evaluate their fit, select their parameters, and interpret their results.
 - Describe the strengths and weaknesses of different machine learning methods.
 - Describe which machine learning models are suitable for specific applications/settings.
 - Compare machine learning tools with traditional statistical methods, identify problems most suitably modeled with machine learning, and problems in which the two can complement each other.",67972.94
38,"What are the recommended prerequists, if any, for introduction to optimization (TAOP07)?","Calculus, linear algebra, and programming",TFIDF," The recommended prerequisites for Introduction to Optimization (TAOP07) are Calculus, Linear Algebra, and programming.","Course: optimization, advanced course (taop24) (taop24)
Prerequisites:
Introduction to optimization.

Intended learning outcomes:

The student must after completing the course
 - M1 (modelling):have the ability to construct mathematical models for non-standard optimization problems in network optimization and integer optimization,
 - M2 (theory and method):be able to identify optimization problems from the sub-areas included in the course and be able to use concepts, theory and methods within these areas,
 - M3 (accounting):be able to report how modeling is done and methods are used within the sub-areas of the course, using correct concepts,
 - M4 (software):be able to use standard optimization software for optimization problems.
Course: introduction to optimization (taop07) (taop07)
Course code:
taop07

Course title:
introduction to optimization (taop07)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Master of Science in Biomedical Engineering
 - Master of Science in Computer Science and Software Engineering
 - Master of Science in Applied Physics and Electrical Engineering - International
 - Bachelor's Programme in Mathematics
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Engineering Mathematics

Prerequisites:

Calculus, linear algebra, and programming

Intended learning outcomes:

The course aims to provide a broad introduction to optimization theory and deals with modelling, theory, solution methods and the use of software to solve different types of optimization problems.
Course: introduction to optimization (taop07) (taop07)
Course content:

Fundamental concepts within optimization, such as mathematical modelling, optimality conditions, convexity, sensitivity analysis, duality, and Lagrangean relaxation. Basic theory and methods for linear and nonlinear optimization, and integer and network optimization.

Teaching and working methods:

Lectures which include theory, problem solving and applications. Exercises which are intended to give individual training in problem solving. A laboratory course with emphasis on modelling and the use of optimization software.

Examination:

LAB1 Laboratory Work 1 credits U, G
TEN1 Written examination 5 credits U, 3, 4, 5

Grades:
Four-grade scale, LiU, U, 3, 4, 5

Other information:

Supplementary courses: Optimization, advanced course, Applied optimization - project course, Mathematical optimization.

About teaching and examination language:",82812.22
